date,day_of_week,hour,weather,has_event,is_holiday,actual_covers
2023-01-23,0,14,cloudy,0,0,16
2023-01-23,0,15,cloudy,0,0,10
2023-01-23,0,16,cloudy,0,0,5
2023-01-23,0,17,cloudy,0,0,12
2023-01-23,0,18,cloudy,0,0,32
2023-01-23,0,19,cloudy,0,0,47
2023-01-23,0,20,cloudy,0,0,29
2023-01-23,0,21,cloudy,0,0,25
2023-01-24,1,11,stormy,0,0,3
2023-01-24,1,12,stormy,0,0,12
2023-01-24,1,13,stormy,0,0,14
2023-01-24,1,14,stormy,0,0,9
2023-01-24,1,15,stormy,0,0,5
2023-01-24,1,16,stormy,0,0,3
2023-01-24,1,17,stormy,0,0,7
2023-01-24,1,18,stormy,0,0,17
2023-01-24,1,19,stormy,0,0,20
2023-01-24,1,20,stormy,0,0,21
2023-01-24,1,21,stormy,0,0,11
2023-01-25,2,11,rainy,0,0,5
2023-01-25,2,12,rainy,0,0,16
2023-01-25,2,13,rainy,0,0,24
2023-01-25,2,14,rainy,0,0,15
2023-01-25,2,15,rainy,0,0,7
2023-01-25,2,16,rainy,0,0,4
2023-01-25,2,17,rainy,0,0,11
2023-01-25,2,18,rainy,0,0,22
2023-01-25,2,19,rainy,0,0,34
2023-01-25,2,20,rainy,0,0,27
2023-01-25,2,21,rainy,0,0,15
2023-01-26,3,11,rainy,0,0,7
2023-01-26,3,12,rainy,0,0,20
2023-01-26,3,13,rainy,0,0,22
2023-01-26,3,14,rainy,0,0,15
2023-01-26,3,15,rainy,0,0,7
2023-01-26,3,16,rainy,0,0,4
2023-01-26,3,17,rainy,0,0,9
2023-01-26,3,18,rainy,0,0,24
2023-01-26,3,19,rainy,0,0,34
2023-01-26,3,20,rainy,0,0,25
2023-01-26,3,21,rainy,0,0,20
2023-01-27,4,11,sunny,0,0,11
2023-01-27,4,12,sunny,0,0,30
2023-01-27,4,13,sunny,0,0,38
2023-01-27,4,14,sunny,0,0,24
2023-01-27,4,15,sunny,0,0,12
2023-01-27,4,16,sunny,0,0,6
2023-01-27,4,17,sunny,0,0,15
2023-01-27,4,18,sunny,0,0,34
2023-01-27,4,19,sunny,0,0,56
2023-01-27,4,20,sunny,0,0,43
2023-01-27,4,21,sunny,0,0,22
2023-01-28,5,11,sunny,0,0,12
2023-01-28,5,12,sunny,0,0,31
2023-01-28,5,13,sunny,0,0,46
2023-01-28,5,14,sunny,0,0,29
2023-01-28,5,15,sunny,0,0,15
2023-01-28,5,16,sunny,0,0,9
2023-01-28,5,17,sunny,0,0,19
2023-01-28,5,18,sunny,0,0,39
2023-01-28,5,19,sunny,0,0,53
2023-01-28,5,20,sunny,0,0,51
2023-01-28,5,21,sunny,0,0,31
2023-01-29,6,11,rainy,0,0,9
2023-01-29,6,12,rainy,0,0,22
2023-01-29,6,13,rainy,0,0,29
2023-01-29,6,14,rainy,0,0,16
2023-01-29,6,15,rainy,0,0,10
2023-01-29,6,16,rainy,0,0,6
2023-01-29,6,17,rainy,0,0,12
2023-01-29,6,18,rainy,0,0,28
2023-01-29,6,19,rainy,0,0,44
2023-01-29,6,20,rainy,0,0,43
2023-01-29,6,21,rainy,0,0,20
2023-01-30,0,11,sunny,0,0,9
2023-01-30,0,12,sunny,0,0,25
2023-01-30,0,13,sunny,0,0,32
2023-01-30,0,14,sunny,0,0,20
2023-01-30,0,15,sunny,0,0,10
2023-01-30,0,16,sunny,0,0,6
2023-01-30,0,17,sunny,0,0,14
2023-01-30,0,18,sunny,0,0,40
2023-01-30,0,19,sunny,0,0,51
2023-01-30,0,20,sunny,0,0,50
2023-01-30,0,21,sunny,0,0,20
2023-01-31,1,11,cloudy,0,0,10
2023-01-31,1,12,cloudy,0,0,19
2023-01-31,1,13,cloudy,0,0,25
2023-01-31,1,14,cloudy,0,0,16
2023-01-31,1,15,cloudy,0,0,7
2023-01-31,1,16,cloudy,0,0,5
2023-01-31,1,17,cloudy,0,0,10
2023-01-31,1,18,cloudy,0,0,30
2023-01-31,1,19,cloudy,0,0,41
2023-01-31,1,20,cloudy,0,0,42
2023-01-31,1,21,cloudy,0,0,22
2023-02-01,2,11,cloudy,0,0,7
2023-02-01,2,12,cloudy,0,0,18
2023-02-01,2,13,cloudy,0,0,34
2023-02-01,2,14,cloudy,0,0,20
2023-02-01,2,15,cloudy,0,0,9
2023-02-01,2,16,cloudy,0,0,4
2023-02-01,2,17,cloudy,0,0,13
2023-02-01,2,18,cloudy,0,0,29
2023-02-01,2,19,cloudy,0,0,45
2023-02-01,2,20,cloudy,0,0,28
2023-02-01,2,21,cloudy,0,0,18
2023-02-02,3,11,sunny,0,0,9
2023-02-02,3,12,sunny,0,0,25
2023-02-02,3,13,sunny,0,0,30
2023-02-02,3,14,sunny,0,0,22
2023-02-02,3,15,sunny,0,0,10
2023-02-02,3,16,sunny,0,0,6
2023-02-02,3,17,sunny,0,0,13
2023-02-02,3,18,sunny,0,0,36
2023-02-02,3,19,sunny,0,0,49
2023-02-02,3,20,sunny,0,0,34
2023-02-02,3,21,sunny,0,0,18
2023-02-03,4,11,sunny,0,0,11
2023-02-03,4,12,sunny,0,0,33
2023-02-03,4,13,sunny,0,0,35
2023-02-03,4,14,sunny,0,0,25
2023-02-03,4,15,sunny,0,0,12
2023-02-03,4,16,sunny,0,0,9
2023-02-03,4,17,sunny,0,0,18
2023-02-03,4,18,sunny,0,0,36
2023-02-03,4,19,sunny,0,0,56
2023-02-03,4,20,sunny,0,0,47
2023-02-03,4,21,sunny,0,0,29
2023-02-04,5,11,rainy,0,0,10
2023-02-04,5,12,rainy,0,0,19
2023-02-04,5,13,rainy,0,0,26
2023-02-04,5,14,rainy,0,0,15
2023-02-04,5,15,rainy,0,0,10
2023-02-04,5,16,rainy,0,0,7
2023-02-04,5,17,rainy,0,0,15
2023-02-04,5,18,rainy,0,0,33
2023-02-04,5,19,rainy,0,0,53
2023-02-04,5,20,rainy,0,0,32
2023-02-04,5,21,rainy,0,0,17
2023-02-05,6,11,cloudy,0,0,10
2023-02-05,6,12,cloudy,0,0,21
2023-02-05,6,13,cloudy,0,0,36
2023-02-05,6,14,cloudy,0,0,19
2023-02-05,6,15,cloudy,0,0,14
2023-02-05,6,16,cloudy,0,0,8
2023-02-05,6,17,cloudy,0,0,13
2023-02-05,6,18,cloudy,0,0,36
2023-02-05,6,19,cloudy,0,0,45
2023-02-05,6,20,cloudy,0,0,45
2023-02-05,6,21,cloudy,0,0,28
2023-02-06,0,11,cloudy,0,0,7
2023-02-06,0,12,cloudy,0,0,19
2023-02-06,0,13,cloudy,0,0,27
2023-02-06,0,14,cloudy,0,0,15
2023-02-06,0,15,cloudy,0,0,9
2023-02-06,0,16,cloudy,0,0,5
2023-02-06,0,17,cloudy,0,0,14
2023-02-06,0,18,cloudy,0,0,30
2023-02-06,0,19,cloudy,0,0,36
2023-02-06,0,20,cloudy,0,0,35
2023-02-06,0,21,cloudy,0,0,19
2023-02-07,1,11,rainy,0,0,6
2023-02-07,1,12,rainy,0,0,16
2023-02-07,1,13,rainy,0,0,20
2023-02-07,1,14,rainy,0,0,13
2023-02-07,1,15,rainy,0,0,5
2023-02-07,1,16,rainy,0,0,3
2023-02-07,1,17,rainy,0,0,11
2023-02-07,1,18,rainy,0,0,28
2023-02-07,1,19,rainy,0,0,31
2023-02-07,1,20,rainy,0,0,29
2023-02-07,1,21,rainy,0,0,16
2023-02-08,2,11,cloudy,0,0,7
2023-02-08,2,12,cloudy,0,0,19
2023-02-08,2,13,cloudy,0,0,22
2023-02-08,2,14,cloudy,0,0,18
2023-02-08,2,15,cloudy,0,0,9
2023-02-08,2,16,cloudy,0,0,4
2023-02-08,2,17,cloudy,0,0,11
2023-02-08,2,18,cloudy,0,0,26
2023-02-08,2,19,cloudy,0,0,48
2023-02-08,2,20,cloudy,0,0,38
2023-02-08,2,21,cloudy,0,0,19
2023-02-09,3,11,sunny,0,0,10
2023-02-09,3,12,sunny,0,0,29
2023-02-09,3,13,sunny,0,0,34
2023-02-09,3,14,sunny,0,0,18
2023-02-09,3,15,sunny,0,0,11
2023-02-09,3,16,sunny,0,0,6
2023-02-09,3,17,sunny,0,0,11
2023-02-09,3,18,sunny,0,0,38
2023-02-09,3,19,sunny,0,0,56
2023-02-09,3,20,sunny,0,0,33
2023-02-09,3,21,sunny,0,0,24
2023-02-10,4,11,sunny,0,0,9
2023-02-10,4,12,sunny,0,0,26
2023-02-10,4,13,sunny,0,0,32
2023-02-10,4,14,sunny,0,0,20
2023-02-10,4,15,sunny,0,0,12
2023-02-10,4,16,sunny,0,0,6
2023-02-10,4,17,sunny,0,0,15
2023-02-10,4,18,sunny,0,0,37
2023-02-10,4,19,sunny,0,0,49
2023-02-10,4,20,sunny,0,0,39
2023-02-10,4,21,sunny,0,0,23
2023-02-11,5,11,sunny,0,0,14
2023-02-11,5,12,sunny,0,0,35
2023-02-11,5,13,sunny,0,0,49
2023-02-11,5,14,sunny,0,0,23
2023-02-11,5,15,sunny,0,0,17
2023-02-11,5,16,sunny,0,0,8
2023-02-11,5,17,sunny,0,0,20
2023-02-11,5,18,sunny,0,0,43
2023-02-11,5,19,sunny,0,0,50
2023-02-11,5,20,sunny,0,0,45
2023-02-11,5,21,sunny,0,0,32
2023-02-12,6,11,sunny,0,0,12
2023-02-12,6,12,sunny,0,0,26
2023-02-12,6,13,sunny,0,0,41
2023-02-12,6,14,sunny,0,0,22
2023-02-12,6,15,sunny,0,0,13
2023-02-12,6,16,sunny,0,0,9
2023-02-12,6,17,sunny,0,0,16
2023-02-12,6,18,sunny,0,0,42
2023-02-12,6,19,sunny,0,0,67
2023-02-12,6,20,sunny,0,0,48
2023-02-12,6,21,sunny,0,0,32
2023-02-13,0,11,rainy,0,0,5
2023-02-13,0,12,rainy,0,0,12
2023-02-13,0,13,rainy,0,0,20
2023-02-13,0,14,rainy,0,0,15
2023-02-13,0,15,rainy,0,0,7
2023-02-13,0,16,rainy,0,0,5
2023-02-13,0,17,rainy,0,0,8
2023-02-13,0,18,rainy,0,0,24
2023-02-13,0,19,rainy,0,0,31
2023-02-13,0,20,rainy,0,0,31
2023-02-13,0,21,rainy,0,0,16
2023-02-14,1,11,sunny,0,0,8
2023-02-14,1,12,sunny,0,0,23
2023-02-14,1,13,sunny,0,0,33
2023-02-14,1,14,sunny,0,0,19
2023-02-14,1,15,sunny,0,0,11
2023-02-14,1,16,sunny,0,0,8
2023-02-14,1,17,sunny,0,0,15
2023-02-14,1,18,sunny,0,0,33
2023-02-14,1,19,sunny,0,0,52
2023-02-14,1,20,sunny,0,0,38
2023-02-14,1,21,sunny,0,0,17
2023-02-15,2,11,cloudy,0,0,7
2023-02-15,2,12,cloudy,0,0,22
2023-02-15,2,13,cloudy,0,0,33
2023-02-15,2,14,cloudy,0,0,18
2023-02-15,2,15,cloudy,0,0,9
2023-02-15,2,16,cloudy,0,0,6
2023-02-15,2,17,cloudy,0,0,8
2023-02-15,2,18,cloudy,0,0,30
2023-02-15,2,19,cloudy,0,0,43
2023-02-15,2,20,cloudy,0,0,28
2023-02-15,2,21,cloudy,0,0,22
2023-02-16,3,11,sunny,0,0,9
2023-02-16,3,12,sunny,0,0,32
2023-02-16,3,13,sunny,0,0,32
2023-02-16,3,14,sunny,0,0,21
2023-02-16,3,15,sunny,0,0,10
2023-02-16,3,16,sunny,0,0,6
2023-02-16,3,17,sunny,0,0,15
2023-02-16,3,18,sunny,0,0,30
2023-02-16,3,19,sunny,0,0,46
2023-02-16,3,20,sunny,0,0,37
2023-02-16,3,21,sunny,0,0,24
2023-02-17,4,11,sunny,0,0,10
2023-02-17,4,12,sunny,0,0,26
2023-02-17,4,13,sunny,0,0,31
2023-02-17,4,14,sunny,0,0,21
2023-02-17,4,15,sunny,0,0,13
2023-02-17,4,16,sunny,0,0,8
2023-02-17,4,17,sunny,0,0,13
2023-02-17,4,18,sunny,0,0,41
2023-02-17,4,19,sunny,0,0,58
2023-02-17,4,20,sunny,0,0,46
2023-02-17,4,21,sunny,0,0,30
2023-02-18,5,11,sunny,0,0,10
2023-02-18,5,12,sunny,0,0,41
2023-02-18,5,13,sunny,0,0,48
2023-02-18,5,14,sunny,0,0,28
2023-02-18,5,15,sunny,0,0,16
2023-02-18,5,16,sunny,0,0,8
2023-02-18,5,17,sunny,0,0,24
2023-02-18,5,18,sunny,0,0,49
2023-02-18,5,19,sunny,0,0,65
2023-02-18,5,20,sunny,0,0,61
2023-02-18,5,21,sunny,0,0,34
2023-02-19,6,11,rainy,0,0,8
2023-02-19,6,12,rainy,0,0,28
2023-02-19,6,13,rainy,0,0,33
2023-02-19,6,14,rainy,0,0,22
2023-02-19,6,15,rainy,0,0,9
2023-02-19,6,16,rainy,0,0,5
2023-02-19,6,17,rainy,0,0,12
2023-02-19,6,18,rainy,0,0,31
2023-02-19,6,19,rainy,0,0,47
2023-02-19,6,20,rainy,0,0,29
2023-02-19,6,21,rainy,0,0,24
2023-02-20,0,11,sunny,0,0,8
2023-02-20,0,12,sunny,0,0,20
2023-02-20,0,13,sunny,0,0,35
2023-02-20,0,14,sunny,0,0,20
2023-02-20,0,15,sunny,0,0,9
2023-02-20,0,16,sunny,0,0,5
2023-02-20,0,17,sunny,0,0,13
2023-02-20,0,18,sunny,0,0,41
2023-02-20,0,19,sunny,0,0,44
2023-02-20,0,20,sunny,0,0,32
2023-02-20,0,21,sunny,0,0,22
2023-02-21,1,11,cloudy,0,0,7
2023-02-21,1,12,cloudy,0,0,21
2023-02-21,1,13,cloudy,0,0,30
2023-02-21,1,14,cloudy,0,0,21
2023-02-21,1,15,cloudy,0,0,11
2023-02-21,1,16,cloudy,0,0,5
2023-02-21,1,17,cloudy,0,0,10
2023-02-21,1,18,cloudy,0,0,39
2023-02-21,1,19,cloudy,0,0,40
2023-02-21,1,20,cloudy,0,0,35
2023-02-21,1,21,cloudy,0,0,19
2023-02-22,2,11,sunny,0,0,8
2023-02-22,2,12,sunny,0,0,23
2023-02-22,2,13,sunny,0,0,32
2023-02-22,2,14,sunny,0,0,19
2023-02-22,2,15,sunny,0,0,10
2023-02-22,2,16,sunny,0,0,6
2023-02-22,2,17,sunny,0,0,13
2023-02-22,2,18,sunny,0,0,40
2023-02-22,2,19,sunny,0,0,31
2023-02-22,2,20,sunny,0,0,45
2023-02-22,2,21,sunny,0,0,26
2023-02-23,3,11,sunny,0,0,6
2023-02-23,3,12,sunny,0,0,21
2023-02-23,3,13,sunny,0,0,29
2023-02-23,3,14,sunny,0,0,17
2023-02-23,3,15,sunny,0,0,13
2023-02-23,3,16,sunny,0,0,7
2023-02-23,3,17,sunny,0,0,15
2023-02-23,3,18,sunny,0,0,37
2023-02-23,3,19,sunny,0,0,39
2023-02-23,3,20,sunny,0,0,37
2023-02-23,3,21,sunny,0,0,24
2023-02-24,4,11,cloudy,0,0,8
2023-02-24,4,12,cloudy,0,0,23
2023-02-24,4,13,cloudy,0,0,33
2023-02-24,4,14,cloudy,0,0,20
2023-02-24,4,15,cloudy,0,0,10
2023-02-24,4,16,cloudy,0,0,7
2023-02-24,4,17,cloudy,0,0,11
2023-02-24,4,18,cloudy,0,0,35
2023-02-24,4,19,cloudy,0,0,47
2023-02-24,4,20,cloudy,0,0,37
2023-02-24,4,21,cloudy,0,0,22
2023-02-25,5,11,cloudy,0,0,9
2023-02-25,5,12,cloudy,0,0,28
2023-02-25,5,13,cloudy,0,0,44
2023-02-25,5,14,cloudy,0,0,23
2023-02-25,5,15,cloudy,0,0,11
2023-02-25,5,16,cloudy,0,0,6
2023-02-25,5,17,cloudy,0,0,18
2023-02-25,5,18,cloudy,0,0,35
2023-02-25,5,19,cloudy,0,0,67
2023-02-25,5,20,cloudy,0,0,36
2023-02-25,5,21,cloudy,0,0,33
2023-02-26,6,11,sunny,0,0,11
2023-02-26,6,12,sunny,0,0,34
2023-02-26,6,13,sunny,0,0,41
2023-02-26,6,14,sunny,0,0,30
2023-02-26,6,15,sunny,0,0,15
2023-02-26,6,16,sunny,0,0,9
2023-02-26,6,17,sunny,0,0,17
2023-02-26,6,18,sunny,0,0,44
2023-02-26,6,19,sunny,0,0,62
2023-02-26,6,20,sunny,0,0,41
2023-02-26,6,21,sunny,0,0,25
2023-02-27,0,11,sunny,0,0,10
2023-02-27,0,12,sunny,0,0,25
2023-02-27,0,13,sunny,0,0,33
2023-02-27,0,14,sunny,0,0,19
2023-02-27,0,15,sunny,0,0,10
2023-02-27,0,16,sunny,0,0,7
2023-02-27,0,17,sunny,0,0,12
2023-02-27,0,18,sunny,0,0,36
2023-02-27,0,19,sunny,0,0,36
2023-02-27,0,20,sunny,0,0,45
2023-02-27,0,21,sunny,0,0,24
2023-02-28,1,11,sunny,1,0,12
2023-02-28,1,12,sunny,1,0,38
2023-02-28,1,13,sunny,1,0,52
2023-02-28,1,14,sunny,1,0,31
2023-02-28,1,15,sunny,1,0,12
2023-02-28,1,16,sunny,1,0,7
2023-02-28,1,17,sunny,1,0,17
2023-02-28,1,18,sunny,1,0,46
2023-02-28,1,19,sunny,1,0,65
2023-02-28,1,20,sunny,1,0,49
2023-02-28,1,21,sunny,1,0,31
2023-03-01,2,11,sunny,0,0,8
2023-03-01,2,12,sunny,0,0,22
2023-03-01,2,13,sunny,0,0,26
2023-03-01,2,14,sunny,0,0,18
2023-03-01,2,15,sunny,0,0,12
2023-03-01,2,16,sunny,0,0,6
